rule_code,rule_name,category,expert_weight,selected_threshold,fraud_hit_rate_train,normal_hit_rate_train,hit_gap_train,lift_train,ml_probability_gap,validation_precision,validation_recall,validation_lift,calibrated_weight,level,score_point
R3-02,往来款/预付款异常占用,R3,0.8,预付款/资产 > 20% 且超过行业P75,0.03826530612244898,0.006154079927062756,0.03211122619538623,3.8788771826420096,0.13925123276261478,0.0847457627118644,0.03826530612244898,5.775683154617779,0.833,高,3
R1-04,净利润增长但经营现金流走弱,R1,0.9,净利润增长 > 50% 且 OCF/利润 < 30%,0.11096938775510204,0.04989743200121562,0.061071955753886416,2.112473817582835,0.10385279051369053,0.032056005895357405,0.11096938775510204,2.184714932398899,0.723,中,2
R3-06,筹资现金流持续流入但业务无明显扩张,R3,0.55,筹资现金流/资产 > 5% 且营收增长 < 0% 且经营现金流<=0,0.09183673469387756,0.027636377450235526,0.06420035724364204,2.967141032779627,0.13553246053888995,0.047151277013752456,0.09183673469387756,3.2135038691311495,0.71,中,2
R3-04,关联交易金额占比偏高,R3,0.65,关联交易金额/资产 > 30%,0.35841836734693877,0.18832624221242972,0.17009212513450905,1.8798191243359985,0.08906713940954933,0.027559827383287563,0.35841836734693877,1.8782866029895677,0.703,中,2
R2-02,存货周转率显著低于行业水平,R2,0.7,存货周转率 < 行业中位数 × 40%,0.19642857142857142,0.1136605379121714,0.08276803351640002,1.6975194531619449,0.05640817300118059,0.025089605734767026,0.19642857142857142,1.7099334357398874,0.633,中,2
R1-01,应收账款增速显著背离营收增速,R1,0.85,应收增速-营收增速 > 20%,0.32653061224489793,0.25197538368029176,0.07455522856460617,1.290125954855512,0.026743849344441184,0.01893211063452152,0.32653061224489793,1.2902812951833595,0.623,中,2
R3-01,存贷双高,R3,0.85,货币资金/资产 > 40% 且短借/负债 > 40%,0.01403061224489796,0.006116091779364838,0.00791452046553312,1.7119876861960694,-0.009392617612593052,0.03303303303303303,0.01403061224489796,2.251302322730894,0.599,低,1
R3-03,经营现金流与利润背离,R3,0.85,OCF/利润 < 20% 且净利润为正,0.22959183673469388,0.190985412551284,0.03860642418340987,1.196986212804525,0.026476490294590843,0.017586712261846604,0.22959183673469388,1.198588277519117,0.597,低,1
R1-06,销售费用率逆势下降,R1,0.55,营收增长 > 30% 且销售费用率下降 > 10%,0.008928571428571428,0.003779820695942866,0.0051487507326285625,1.5864300548879988,0.10450418350256191,0.03398058252427184,0.008928571428571428,2.315880721220527,0.589,低,1
R1-02,销售回款率偏低,R1,0.8,销售回款率 < 50% 且营收增长 > 0%,0.01913265306122449,0.012061236894089044,0.007071416167135447,1.414472655823997,0.03811362905310037,0.023076923076923078,0.01913265306122449,1.57276295133438,0.588,低,1
R2-03,存货高企且周转偏弱,R2,0.65,存货占比 > 行业中位数×2.5 且周转率 < 行业中位数×60%,0.10204081632653061,0.05774198450083574,0.04429883182569488,1.7060476677320402,0.03827643371254322,0.02564102564102564,0.10204081632653061,1.747514390371533,0.588,低,1
R2-01,存货增速显著高于营业成本增速,R2,0.75,存货增速-成本增速 > 25%,0.2461734693877551,0.19919085245403434,0.04698261693372077,1.2300916831927966,0.030837921739900964,0.01807116104868914,0.2461734693877551,1.231604945348926,0.582,低,1
R2-04,存货占总资产比例异常偏高,R2,0.55,存货占比 > 行业中位数×2.5 且自身 > 40%,0.036989795918367346,0.018177328673453882,0.018812467244913464,1.8116753880467809,0.046335911842039,0.029411764705882353,0.036989795918367346,2.004501800720288,0.562,低,1
R1-05,营收增速显著高于行业均值,R1,0.6,营收增速 > 行业中位数+30% 且自身 > 50%,0.1377551020408163,0.11341361495213494,0.024341487088681377,1.2055632462409045,0.022829219790714533,0.017766079947359764,0.1377551020408163,1.2108127343715904,0.526,低,1
R2-05,在建工程长期挂账不转固,R2,0.7,在建工程连续增长 > 20% 且固定资产增长 < 10%,0.07908163265306123,0.09168439446892569,-0.012602761815864463,0.8696505068362922,-0.003902163126974334,0.012681529965228063,0.07908163265306123,0.8642850881403901,0.51,低,1
R1-03,毛利率显著高于行业均值,R1,0.65,毛利率高于行业均值 15% 以上,0.10841836734693877,0.14388010940586538,-0.035461742058926604,0.7618100752313826,-0.04333205512921581,0.011096605744125326,0.10841836734693877,0.7562676506633985,0.498,低,1
R3-05,货币资金与利息收入不匹配,R3,0.6,现金/资产 > 40% 且利息收入/现金 < 0.2%,0.003826530612244898,0.0033999392189636834,0.0004265913932812145,1.050785057148764,-0.06265978253348296,0.016483516483516484,0.003826530612244898,1.1234021080959857,0.49,低,1
